Summary Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 1: Energy efficiency,..,..,..,..,..,0.000,15.534,18.044,..,28.026,..,17.207,..,9.079,..,9.595,..,..,..,9.129,..,18.171,..,12.933,..,11.675,..,15.741,..,14.538,50.596,31.705,28.712,31.122,37.662,33.396,105.360,78.140,56.363,55.523,23.163,23.045,16.198,20.808,23.562,7.665
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 2: Fossil fuels,..,..,..,..,..,42.311,59.694,67.670,..,96.933,..,67.329,..,56.722,..,64.106,..,..,..,92.732,..,78.719,..,144.788,..,110.366,..,108.835,..,89.225,56.347,52.983,61.452,64.835,62.019,254.837,178.901,206.957,310.794,252.896,121.423,50.400,31.942,50.249,51.019,9.980
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 3: Renewable energy sources,..,..,..,..,..,20.288,28.653,34.955,..,28.286,..,18.413,..,1.762,..,8.147,..,..,..,15.005,..,6.989,..,10.435,..,16.665,..,17.802,..,17.366,40.476,28.689,36.767,44.372,39.580,75.196,78.404,156.097,202.202,401.022,73.572,118.507,42.397,50.691,47.655,24.450
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 4: Nuclear,..,..,..,..,..,0.000,0.000,0.000,..,32.708,..,20.750,..,35.635,..,32.616,..,..,..,1.579,..,10.215,..,1.511,..,4.445,..,4.891,..,1.446,31.961,21.630,16.678,14.206,22.444,2.461,2.382,4.811,9.113,6.888,6.143,7.135,13.243,7.415,6.296,6.796
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 5: Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.312,0.000,0.190,0.595,0.287,1.043,1.938,1.983,0.177,1.436,3.177,3.247,2.930,4.351,23.119,12.345
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 6: Other power and storage technologies,..,..,..,..,..,0.000,5.581,6.100,..,10.838,..,7.591,..,1.812,..,16.849,..,..,..,11.312,..,8.818,..,8.267,..,14.659,..,9.482,..,6.735,10.037,11.828,12.526,12.511,12.339,14.527,11.006,9.407,14.927,18.628,8.363,13.141,14.099,12.557,14.580,12.506
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 7: Other cross-cutting techs/research,..,..,..,..,..,0.000,10.472,13.771,..,12.550,..,0.486,..,0.694,..,2.867,..,..,..,21.745,..,28.987,..,22.949,..,11.218,..,22.197,..,34.451,136.776,84.087,94.978,110.515,112.641,8.785,9.453,6.577,11.876,7.261,0.171,1.719,1.940,1.903,1.707,1.494
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Group 8: Unallocated,..,..,..,..,..,0.000,0.000,0.000,..,0.000,..,0.000,..,0.000,..,0.000,..,..,..,0.000,..,0.000,..,0.000,..,0.000,..,0.000,..,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.035,2.039,5.325,2.543,1.901,1.766
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Total budget,..,..,..,..,..,62.599,119.933,140.539,..,209.321,..,131.777,..,105.687,..,134.179,..,..,..,151.500,..,151.899,..,200.884,..,169.027,..,178.948,..,163.761,326.507,230.922,251.303,278.154,286.970,390.246,387.445,463.971,605.452,743.655,242.048,219.232,128.074,150.518,169.838,77.001
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Memo: Low-carbon,..,..,..,..,..,20.288,60.240,72.870,..,112.408,..,64.447,..,48.982,..,70.074,..,..,..,58.770,..,73.180,..,56.095,..,58.662,..,70.113,..,74.536,270.158,177.939,189.851,213.417,224.977,186.401,353.501,403.978,559.149,707.203,177.786,182.556,116.089,115.347,135.167,72.160
Australia,Total RD&D in Million USD (2019 prices and exch. rates),Memo: Non-low-carbon,..,..,..,..,..,42.311,59.694,67.670,..,96.933,..,67.329,..,56.722,..,64.106,..,..,..,92.732,..,78.719,..,144.788,..,110.366,..,108.835,..,89.225,56.347,52.983,61.452,64.739,61.995,203.844,33.943,59.994,46.303,36.451,64.261,36.677,11.985,35.170,34.672,4.842
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 1: Energy efficiency,..,..,..,..,..,0.000,15.524,18.031,..,28.007,..,17.195,..,9.072,..,9.588,..,..,..,9.123,..,18.158,..,12.924,..,11.667,..,15.731,..,14.528,50.561,31.683,28.692,31.100,37.636,33.373,105.287,78.085,56.324,55.485,23.147,23.029,16.187,20.794,23.545,7.660
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 2: Fossil fuels,..,..,..,..,..,42.282,59.652,67.623,..,96.866,..,67.282,..,56.683,..,64.061,..,..,..,92.667,..,78.665,..,144.688,..,110.289,..,108.759,..,89.163,56.308,52.947,61.410,64.790,61.976,254.660,178.777,206.813,310.578,252.720,121.339,50.365,31.919,50.215,50.984,9.973
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 3: Renewable energy sources,..,..,..,..,..,20.274,28.633,34.931,..,28.267,..,18.401,..,1.760,..,8.141,..,..,..,14.994,..,6.984,..,10.428,..,16.653,..,17.790,..,17.353,40.448,28.669,36.742,44.341,39.552,75.144,78.350,155.989,202.061,400.744,73.521,118.425,42.368,50.656,47.622,24.433
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 4: Nuclear,..,..,..,..,..,0.000,0.000,0.000,..,32.685,..,20.735,..,35.610,..,32.593,..,..,..,1.578,..,10.208,..,1.510,..,4.442,..,4.888,..,1.445,31.939,21.615,16.667,14.196,22.428,2.460,2.380,4.808,9.107,6.883,6.139,7.130,13.234,7.410,6.292,6.791
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 5: Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.312,0.000,0.190,0.594,0.287,1.042,1.937,1.981,0.177,1.435,3.175,3.244,2.928,4.348,23.103,12.336
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 6: Other power and storage technologies,..,..,..,..,..,0.000,5.577,6.096,..,10.831,..,7.586,..,1.811,..,16.838,..,..,..,11.304,..,8.812,..,8.261,..,14.649,..,9.475,..,6.730,10.030,11.819,12.517,12.503,12.331,14.517,10.999,9.400,14.917,18.615,8.358,13.132,14.090,12.548,14.570,12.497
