"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",34.8590092006253,34.8505539174626,34.9275175350586,35.0953375454704,35.086927561675,35.0824683598972,35.485125409635,35.8919269329401,36.6310971737544,36.2966704349268,33.3428008598072,31.5088329964612,31.4286032818057,31.1547182434096,31.146787662757,31.8936033997373,31.0759925059738,32.144508118737,31.9848449339037,32.9189221102589,33.0553857699595,33.3552062576408,32.606196256531,32.4736372678847,33.0278963489865,32.7216696938924,33.0053010355683,33.087690737906,33.1928941853536
"ALB","Albania",44.0570680854351,44.0397875562433,43.9739386017957,43.7205605708674,43.4256499915441,43.5591586858884,43.7946271303176,44.2221812848458,44.1895334232048,44.8348591592815,44.4564440299966,43.9085265534351,44.538964517235,45.326435421126,46.3407658721663,46.8379505140381,46.9214778091442,47.659248329172,48.2581414378507,49.7295000564595,50.2041704900567,49.8878343434757,49.8430414303612,50.3294190124612,50.2728650626839,50.6087725458406,51.4427763163748,51.878407071069,52.1256791107681
"DZA","Algeria",45.0974596279845,45.1995436378574,45.0880193411082,45.0816422072348,45.4104927241404,45.687935921314,45.8938547431866,46.0816040526898,46.5270185211271,47.1054584691012,47.2905440638538,45.7588089094612,45.7629045442712,45.9079264637756,45.6818395720097,45.1924143156134,44.7236958183586,44.7971640072212,45.5197856010231,45.4424012259324,45.655413989819,46.1288944387388,47.1579032658603,47.1557659425501,47.0503395494202,48.3530038042071,47.989893991125,48.4838278695361,48.9155061749796
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",34.8274370424572,34.8099354003336,34.7472977843708,34.6844255426687,34.714635401724,34.74086248702,35.0201414573,35.5071147658523,36.1610575460098,36.2193375063184,35.67788671136,34.366789351169,34.7201459469743,35.0235498450994,35.1873512380721,34.3848796868288,34.3241510872986,35.1023344462736,35.4346218767368,35.5816549740077,35.2598342072003,36.5946605590816,36.6591878131702,37.1057839702518,37.3000948647979,37.3484172089615,37.8794380324958,38.1497407510795,38.3079378698932
"ATG","Antigua and Barbuda",48.4801494807553,48.5197301515973,48.6087589159803,48.6526260531646,48.6732792373465,48.7940264707539,48.89473086872,49.1330439511277,49.3361925958409,49.3873816344759,50.0019373332493,49.2033937090435,49.3665368904441,49.7375772917284,49.9235788035737,50.3227833748701,49.883943622347,50.4519185859644,50.3116157655192,49.1539576482004,49.3209354815824,49.0715458418146,48.1333381089436,48.5569693534285,48.9283348803653,48.8329848165622,48.6736361431946,48.8071771068587,49.0458403757996
"ARG","Argentina",48.9006095459432,49.0280479472039,48.7430080484828,48.547065040442,48.5694210226174,48.6497515003662,47.2682480515612,46.2784953230811,46.8410873173516,46.762317137307,48.1319645987538,46.9795441490034,47.5480701614747,47.1504951687258,47.0054187745824,47.4407593833504,47.5082078729592,47.2329514979374,46.7881823985214,46.3485352398698,46.5070027657743,48.2492613940544,48.3741501669285,49.5483466360883,49.5190400565012,49.8621251462768,49.4812133715892,49.3618709874714,49.5860129429258
"ARM","Armenia",48.7868877700039,49.1051107692139,48.579898582454,49.0743795069272,49.6107068008286,49.735857975957,49.9594177172591,51.6759180881688,52.3846725739007,51.6633589328581,52.5387837092575,51.79336062742,52.041169253713,53.3131214622463,53.0662809775235,53.3821673540416,53.3405887398412,53.720083896986,54.5101809818414,55.3606933398236,55.7014137364364,56.1697145294726,56.2091872638927,56.3959678069834,56.9293487975107,56.5249741761437,56.8228669818147,56.9320420727895,57.1754268097306
"AUS","Australia",62.8049076914633,62.9641272908911,62.9914632601189,63.1690540930891,63.5096889888025,63.9155978123247,64.2391489873744,64.3578215351782,64.6228813069788,65.1106523101002,65.3356876608867,67.5222767082043,67.8723269142686,68.2948481157004,67.859959320438,68.2223365593582,68.400032072389,68.5167260559595,69.0892084361729,69.1619319791346,68.9435351867462,68.8474200823646,68.1700782606623,69.0073465571404,68.9924876922804,68.3406404821835,69.0397259427342,68.8634725351344,68.8685917266892
"AUT","Austria",64.8208839167695,65.0977343144707,65.2235997962738,65.2375245144111,65.5374155681243,65.7617174318249,66.1872916450001,66.4826978133365,66.3376334728793,66.6506380295047,67.106129516352,68.6045425538752,69.239022147705,69.0721857397887,68.2180549677623,68.6302214439074,68.596164782765,69.0402394644267,69.7099853346137,70.2485334022015,70.2218181830716,69.4570849154736,69.6195450783891,69.6601992950777,69.3928079217631,69.3931448320772,69.413650915314,68.7994904399587,69.0440529897239
"AZE","Azerbaijan",43.6329950741233,43.4707664922693,44.0524088539163,44.3624394388142,44.3100309871786,44.3507201059291,45.049175791731,47.0934266656593,47.4523692086186,47.8071912869108,48.2928478019202,46.0164815830458,46.1742303488826,46.2183798682279,48.0932032957615,47.5844036125175,47.9096647319484,47.765148145844,49.0090304837693,50.3024859125878,50.7551291832607,51.699579444432,51.1094535765047,51.3079149691759,52.3512508109108,51.5292266105551,52.1938963504821,51.8342952070371,51.9736469145074
"BHS","Bahamas",49.023731949078,49.0600867425006,49.2710443440216,49.3624097948422,49.485686249153,49.7488407234292,49.9438720658564,50.1801486620978,50.0641269707199,50.228075612775,51.360359670177,54.5011429345985,54.7178758572498,50.0506995149624,49.4775123606894,49.4381719678619,49.6003058255611,49.930284038991,49.5258007883581,49.7949209632429,49.3717877779632,48.9566917929964,48.567659058229,48.3872935782801,48.4826809029656,48.1792022595382,48.3166788794539,48.3387611605599,48.7086280712163
"BHR","Bahrain",46.6713073620526,46.5761229328422,46.8633787318956,47.1755157738251,47.4608115725048,47.7885279851989,48.5088508725325,49.2017273307053,49.1147477282508,49.2788091775069,49.8763033901522,52.7922762455753,53.5741963501933,50.7625765571772,51.0940054072284,50.9398824601428,51.21120915751,51.3362463798222,51.3679277802374,52.2431557288015,52.0765653488646,51.5573940339803,51.1490590982062,51.2052478385971,51.6061106642277,53.1057281449991,54.2233202690892,54.6165340438433,54.5539737710923
