"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",,,,,,,,,,0.566099476,0.431037304,0.357929756,0.353839442,0.344513525,0.336305628,0.327743237,0.297556719,0.295484293,0.298483857,0.317735602,0.31667212,0.36796466,0.349094677,0.325098168,0.336724175,0.328016493,,,
"ALB","Albania",,,,,,,,,,0.479221204,0.46215096,0.403005017,0.39787849,0.40030541,0.429101222,0.415439572,0.416039485,0.421465969,0.433109729,0.456506326,0.478621291,0.460760253,0.464686955,0.472349476,0.458116319,0.453450521,,,
"DZA","Algeria",,,,,,,,,,0.498854712,0.466295812,0.395233421,0.39414267,0.399296466,0.394878927,0.370364311,0.359565881,0.355502836,0.364065227,0.370773342,0.375327225,0.388361693,0.425774433,0.421602312,0.428629557,0.420572917,,,
"AND","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",,,,,,,,,,0.391454749,0.350255547,0.259598604,0.264273249,0.261904762,0.274806781,0.230646971,0.230646971,0.252711294,0.273497881,0.274058838,0.265831463,0.335732984,0.34657816,0.349943904,0.350229415,0.357142857,,,
"ATG","Antigua and Barbuda",,,,,,,,,,0.564790576,0.616273997,0.540248691,0.544802574,0.544039049,0.532913394,0.560700262,0.546629581,0.538612565,0.521596859,0.53962151,0.532749782,0.522251309,0.502754145,0.519006326,0.511338976,0.505181207,,,
"ARG","Argentina",,,,,,,,,,0.476521597,0.479521161,0.409222295,0.431855366,0.429919284,0.428828534,0.416175829,0.398232984,0.394524433,0.368073735,0.367910122,0.358202443,0.375027269,0.381980803,0.378354058,0.389594184,0.388346354,,,
"ARM","Armenia",,,,,,,,,,0.534031414,0.566044939,0.511780105,0.525905323,0.534249564,0.523478403,0.525387216,0.528904887,0.536676483,0.57703425,0.624972731,0.644469895,0.659576789,0.6566863,0.658404232,0.68109809,0.676215278,,,
"AUS","Australia",,,,,,,,,,0.573134817,0.591977531,0.673892888,0.689054319,0.694726222,0.688399869,0.711005672,0.710787522,0.710514834,0.722322208,0.757771597,0.748745637,0.727585079,0.718013743,0.722676702,0.716118707,0.70960829,,,
"AUT","Austria",,,,,,,,,,0.534195026,0.551347077,0.617882853,0.625054538,0.623445681,0.601439791,0.611692845,0.615455934,0.613165358,0.64392452,0.67825589,0.677765052,0.642042976,0.640052356,0.633507853,0.625840929,0.619113498,,,
"AZE","Azerbaijan",,,,,,,,,,0.518079188,0.519333551,0.431091841,0.44145397,0.451488874,0.532558901,0.499890925,0.5160613,0.507008072,0.517942845,0.576107112,0.598794721,0.645424302,0.611611038,0.614528796,0.655381944,0.643853082,,,
"BHS","Bahamas, The",,,,,,,,,,0.563808901,0.615292321,0.789703316,0.796138743,0.548538394,0.543439136,0.543766361,0.534249564,0.526068935,0.520560646,0.537112784,0.535231239,0.520669721,0.504144852,0.505590096,0.515435113,0.499864366,,,
"BHR","Bahrain",,,,,,,,,,0.561027487,0.612510908,0.786921902,0.79335733,0.631326353,0.631271815,0.628926702,0.624945462,0.626799738,0.640788613,0.669093586,0.6727476,0.652568717,0.655868237,0.65273233,0.643174913,0.704779731,,,
"BGD","Bangladesh",,,,,,,,,,0.539267016,0.590750436,0.765161431,0.771596859,0.776232548,0.777814136,0.835951134,0.835787522,0.839823298,0.848113002,0.295484293,0.291230366,0.320735166,0.318908159,0.317462914,0.3175727,0.322482639,,,
"BRB","Barbados",,,,,,,,,,0.553010471,0.604493892,0.778904887,0.785340314,0.789976003,0.791557592,0.84969459,0.849530977,0.531086387,0.535531195,0.555955497,0.550447208,0.519851658,0.517861038,0.507880672,0.501437717,0.492675781,,,
"BLR","Belarus",,,,,,,,,,0.462778141,0.444671684,0.323980148,0.327334206,0.339441536,0.402377836,0.412440009,0.424983639,0.457569808,0.475839878,0.52860493,0.547693063,0.583115183,0.647060428,0.636561955,0.649007161,0.6484375,,,
"BEL","Belgium",,,,,,,,,,0.541966623,0.523151178,0.582460733,0.592141143,0.605693717,0.599012871,0.579542976,0.570844241,0.57438918,0.584778578,0.610056719,0.605666449,0.574252836,0.571607766,0.561900087,0.557969835,0.571180556,,,
"BLZ","Belize",,,,,,,,,,0.540085079,0.591568499,0.461332897,0.464250654,0.458142452,0.449552792,0.444044503,0.434936736,0.436545593,0.440854058,0.459560428,0.454952007,0.452552356,0.456888089,0.447671248,0.439019097,0.433702257,,,
"BEN","Benin",,,,,,,,,,0.414021597,0.391988438,0.329433901,0.335651178,0.327715969,0.294039049,0.253681283,0.261316536,0.259871291,0.28367692,0.299383726,0.334642234,0.349721859,0.375927138,0.396024215,0.390163845,0.39594184,,,
