"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",0.128090050205282,0.128090050205282,0.141391908426762,0.154693766648242,0.14368919173632,0.132684616824399,0.135051651011073,0.137418685197748,0.116023326645072,0.114536093755705,0.0923215701565265,0.0925423497062542,0.054149844127556,0.0406184480913675,0.0681659463964588,0.0467591842812423,0.0570887011857636,0.0962030577556451,0.0926186110307318,0.111250826072975,0.113601166101989,0.07094169961547,0.0732764419832246,0.079530830024748,0.0987469568113091,0.0817188337620453,0.160154318710057,0.152929558768753,0.159541267573959
"ALB","Albania",0.219565234792226,0.219565234792226,0.208283643771567,0.197002052750907,0.212691806003033,0.228381559255159,0.229556928009639,0.230732296764119,0.228790196050267,0.258696545937662,0.238108469151774,0.243332657708803,0.262557844296854,0.285950320270151,0.299733979008893,0.30287383756305,0.263741155797117,0.24604973466432,0.252340471561434,0.29023675769524,0.299763899654352,0.316496832167082,0.314424248381873,0.299561979842669,0.295364166738945,0.293233729062539,0.292396430706856,0.331256132841416,0.34872579443083
"DZA","Algeria",0.294796908033668,0.294796908033668,0.254565852119698,0.214334796205728,0.206211868652451,0.198088941099174,0.204820003537298,0.211551065975421,0.260648227288791,0.26432096938615,0.317865794213723,0.295205846365285,0.288917370991991,0.279458211809552,0.283713837685858,0.298152748965813,0.293426685016169,0.30518991207963,0.316360421162074,0.284132411479572,0.278074378530513,0.27020134250633,0.287402725692676,0.273603839360208,0.274232625219615,0.271781928357777,0.278879522129326,0.278401298931563,0.289607492118658
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.156604767983006,0.156604767983006,0.155138957892017,0.153673147801027,0.151711241620987,0.149749335440947,0.154580813813049,0.159412292185151,0.118027694648122,0.108345439567314,0.120851803358283,0.139741037156207,0.124459386157193,0.124167115042318,0.103701037186908,0.11871486894072,0.110667901175412,0.125630334660571,0.11768084542504,0.0897981755835034,0.0968115858441003,0.0838735862460759,0.092800026359774,0.149296427603771,0.182608591246648,0.210100935782921,0.275771859450654,0.284303094850119,0.28486774937645
"ATG","Antigua and Barbuda",0.625154660816932,0.625154660816932,0.626703297504583,0.628251934192234,0.625742143027648,0.623232351863063,0.621929995119495,0.620627638375927,0.62152668318502,0.618246637566384,0.595847052787639,0.682578053821965,0.688867420098582,0.718717094828407,0.728142742339684,0.724465285307814,0.717687539535548,0.714981633137087,0.713383489637068,0.571092550107419,0.572889310223722,0.573523660802348,0.470630196639085,0.479504148840834,0.48021999994079,0.480087474644892,0.478438796367132,0.496572509881352,0.5002667158957
"ARG","Argentina",0.401822018596141,0.401822018596141,0.390075561074466,0.378329103552791,0.381901860598137,0.385474617643483,0.357345965967822,0.329217314292162,0.314748489219851,0.329825808115104,0.338258420516676,0.348951144999916,0.339549894533494,0.325119734665416,0.322682223172763,0.343434253582556,0.341394927903718,0.322582400881934,0.325250416476745,0.298694486717427,0.291457007417908,0.356310294280993,0.354064374974575,0.402291862162837,0.40048850593539,0.387506840081593,0.327943123799817,0.322280610807705,0.342134124097296
"ARM","Armenia",0.316341020028933,0.316341020028933,0.263077850860482,0.20981468169203,0.219957842180616,0.230101002669202,0.238140246988007,0.246179491306812,0.275876122551894,0.263359163864479,0.267982458689225,0.271228745925009,0.253600839346063,0.261299477618152,0.2822142280934,0.265294384063434,0.272303353513619,0.289908000662723,0.303122893013641,0.295094497156073,0.284907661845336,0.273398890477225,0.278637210131583,0.330984791101538,0.372911835686287,0.424321019458772,0.436315226218995,0.431537405926092,0.438549209990793
"AUS","Australia",0.856821748172716,0.856821748172716,0.847712645465324,0.838603542757931,0.845957250675635,0.853310958593337,0.841738398547274,0.830165838501211,0.860945068052404,0.886373587068447,0.87184034968586,0.873713412245255,0.885224732967491,0.891311494122175,0.89462751852887,0.890453376041138,0.893741275315224,0.879851763555464,0.83393630584004,0.850363850399733,0.848532509528279,0.832652911631053,0.828220078230632,0.8315498088423,0.836291141504287,0.800627184974667,0.817737490428956,0.830839772599805,0.834711665855442
"AUT","Austria",0.823434501938989,0.823434501938989,0.831162690789001,0.838890879639015,0.833335179102271,0.827779478565524,0.846647097678203,0.86551471679088,0.876715537145624,0.891146361764644,0.864885629394964,0.86315028678315,0.88579326634983,0.845646613246092,0.814666560379617,0.792151487117757,0.763216016259726,0.753320054030957,0.77861995401952,0.76234506917083,0.763619444696944,0.76933071066015,0.770236635984139,0.785819796080179,0.774951625320163,0.764922274304583,0.710887671948454,0.71453459155564,0.685805892505853
