"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,13.73297024,6.65036392,9.9371376,15.71056557,18.48848534,16.17664719,18.47561455,21.8033886,15.52872467,21.13860512,21.17189598,22.91737556,21.98381996,16.44546318,18.94781876,19.42013359,19.73445702,19.83023643,16.13204002,19.34802628,21.26785851,21.26785851
"ALB","Albania",1.65561795,1.65561795,1.65561795,1.65561795,1.65561795,1.65561795,4.40931129,3.44509792,4.91155481,3.79111719,3.78141952,4.12586164,4.21789455,2.00321007,2.97321677,1.87579036,1.35891247,1.90068352,1.23372364,0.50567991,0.76664573,0.65934527,0.55059642,0.42088792,0.66455001,0.67609537,0.54438251,3.45230412,3.45230412
"DZA","Algeria",0.052187,0.052187,0.052187,0.052187,0.052187,0.052187,0.04628069,0.04450536,0.05022801,0.04680432,0.07937498,0.05232034,0.06622829,0.03665671,0.05150365,0.02814943,0.01970796,0.03133383,0.0194395,0.03474388,0.02634617,0.01974073,0.02734736,0.02523286,0.04551063,0.04007037,0.61166543,0.46406284,0.46406284
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.51365387,0.51365387,0.51365387,0.51365387,0.51365387,0.51365387,1.43060005,1.27742219,1.03922689,1.92934799,3.03782797,5.85645962,2.69763899,2.4888041,3.82744431,3.24644613,2.8612268,2.17543125,2.56596041,3.17014694,2.67032242,3.64164376,3.11478901,3.62995744,3.94904542,5.43536901,4.63133621,4.67911005,4.67911005
"ATG","Antigua and Barbuda",0.34878898,0.34878898,0.34878898,0.34878898,0.34878898,0.34878898,0.07303306,0.13711631,0,0.04309067,0.15506251,0.13964188,0.14269018,0.18763787,0.02764631,0.12729101,0.05339933,0,0.23532581,0,0,0.01355033,0.02284085,0.09705941,0.04647173,0.13569869,0.11926717,0.15202753,0.15202753
"ARG","Argentina",0.03062808,0.03062808,0.03062808,0.03062808,0.03062808,0.03062808,0.2007374,1.96734297,0.34346449,6.29007864,1.18307579,0.32621667,0.22942123,0.92570257,0.28787005,0.31598705,0.58026612,0.52099103,0.44593182,0.52839446,0.28386176,0.28183463,0.44271711,0.28029117,0.22744361,0.27920026,1.21654785,1.25239897,1.25239897
"ARM","Armenia",12.77933121,12.77933121,12.77933121,12.77933121,12.77933121,12.77933121,18.01124001,7.93093824,5.22895432,5.45582008,11.67522335,11.57289124,12.21758938,5.88885784,4.58921719,3.72884226,3.15005541,2.960572,2.07229877,1.52948999,1.08290088,1.69676268,1.13822389,1.216784,0.99527276,1.10338724,0.88837326,0.51244688,0.51244688
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",1.99538815,1.99538815,1.99538815,1.99538815,1.99538815,1.99538815,1.23942494,0.83319825,2.65599656,1.7946558,0.90798372,1.70430362,1.71516812,1.21341121,1.1386584,1.39608955,1.30513859,1.69985044,0.74111837,0.9624505,0.78633606,0.46450466,0.61537313,0.60899526,0.29085997,0.23827933,0.36661896,2.90655851,2.90655851
"BHS","Bahamas",0.65086937,0.65086937,0.65086937,0.65086937,0.65086937,0.65086937,0.61268443,0.59068519,0.56089538,0.54586518,0.50430673,0.68472451,0.64440203,0.60407335,0.56417912,0.56275851,0.56718802,0.57309628,0.54808396,0.56049287,0.59071124,0.54707223,0.47800452,0.53062391,0.49972996,0.41896269,0.47697881,0.45331359,0.45331359
"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD","Bangladesh",7.80901241,7.80901241,7.80901241,7.80901241,7.80901241,7.80901241,9.8304987,9.99173546,9.66122818,10.01664925,9.45324707,8.1403017,8.05371952,8.34587193,9.39119339,8.98498154,8.60315228,9.1232996,9.00814438,8.34512901,7.78335238,6.1627984,6.05031443,5.8310504,5.56311464,5.40653753,7.63530111,18.51947212,18.51947212
"BRB","Barbados",0,0,0,0,0,0,0,2.07792068,1.82945526,1.21803546,1.18113172,1.52528644,1.96420276,3.10037875,3.45182085,2.29501486,3.00869179,0.37091264,1.81184709,2.25032759,1.70312703,1.67914236,2.00076103,1.20797849,0.88799089,0.75561428,0.66770786,0.67227739,0.67227739
"BLR","Belarus",0.09127826,0.09127826,0.09127826,0.09127826,0.09127826,0.09127826,0.16596431,0.1448514,0.11228091,0.09088763,0.07338142,0.17462118,0.13972256,0.20764074,0.26352641,0.45424893,0.29202139,0.54671919,0.4074395,0.29852316,0.39081886,0.41910192,0.37682614,0.20678577,0.13958444,0.29889509,0.20713031,0.1614657,0.1614657
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01215916,0.01215916
"BLZ","Belize",6.49855042,6.49855042,6.49855042,6.49855042,6.49855042,6.49855042,6.61404991,6.30416584,7.60907555,7.3257513,6.94754314,6.85453606,8.8934021,5.29220343,5.4599967,2.79598165,4.11242867,2.67317414,2.28252959,9.34840679,2.96273732,1.68904698,1.62432587,2.50292134,2.94441438,2.93392801,2.90688634,4.57217407,4.57217407
"BEN","Benin",2.32292247,2.32292247,2.32292247,2.32292247,2.32292247,2.32292247,10.23425674,13.37215328,10.80212498,12.0053196,16.86398506,18.05868149,14.9950037,23.99986267,24.51530457,29.44955063,32.40466309,28.60687256,25.02174568,25.12753487,19.76968575,27.43904686,25.00191116,32.40467834,29.423769,27.37222099,32.0743103,31.99975967,31.99975967
"BTN","Bhutan",8.1200285,8.1200285,8.1200285,8.1200285,8.1200285,8.1200285,19.05442047,9.62377357,11.47806835,17.37087059,19.01649094,29.11175156,20.92226601,15.00100899,9.11180782,11.01529884,9.75923061,8.70930767,9.69053841,8.65128994,5.0743556,4.76110172,11.16815472,6.05179501,6.96480751,5.13653231,9.69371033,14.97576427,14.97576427
"BOL","Bolivia, Plurinational State of",6.25753689,6.25753689,6.25753689,6.25753689,6.25753689,6.25753689,6.40078497,6.96912527,8.92644691,9.21074009,7.61305428,5.74817848,4.57828236,5.93362188,4.00067425,3.5904696,4.65468597,4.42234516,3.52861857,2.66771841,3.0737884,3.23860908,2.30387115,1.62937176,1.13371396,2.76030016,1.45821679,4.924891,4.924891
"BIH","Bosnia and Herzegovina",6.84867668,6.84867668,6.84867668,6.84867668,6.84867668,6.84867668,1.47247243,1.78275621,1.28906286,0.34047738,0.22188847,0.44001108,0.39651504,0.40223277,0.9525398,1.51052833,2.59980559,1.8899281,0.95787603,0.45209342,1.69204223,0.18966424,0.38613981,0.42419314,1.54225659,1.2428323,0.6642862,2.90699649,2.90699649
"BWA","Botswana",16.04449844,16.04449844,16.04449844,16.04449844,16.04449844,16.04449844,14.00440884,13.27278709,12.67182446,11.29105949,11.48691273,10.69620132,14.99626637,12.52663803,7.35743666,5.10271645,4.83636427,4.60987091,8.8375845,7.95071602,7.03000593,5.6654377,9.61172962,8.53515816,9.56364727,5.72427082,5.3659606,6.33799934,6.33799934
"BRA","Brazil",0.31819323,0.31819323,0.31819323,0.31819323,0.31819323,0.31819323,0.28357494,0.31573328,0.1969112,0.53066915,0.06743981,0.10612676,0.08170771,0.05353876,0.14908519,0.24594215,0.33908296,0.12457065,0.06794302,0.13800363,0.08013435,0.07916976,0.06623575,0.08543605,0.14588514,0.15294783,0.13226868,0.08222836,0.08222836
"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR","Bulgaria",2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,0.56350797,0.56350797,0.56350797
"BFA","Burkina Faso",21.29730415,21.29730415,21.29730415,21.29730415,21.29730415,21.29730415,19.59553146,22.19445229,31.74218559,26.69436264,35.38982391,35.40400696,43.06169128,36.67288589,30.97930145,41.42404938,32.62495041,38.21045685,29.5110836,23.60428619,24.67079163,23.47665787,17.99704552,15.18416309,15.79821396,18.15622139,18.08420944,20.85791969,20.85791969
"BDI","Burundi",1.03790939,1.03790939,1.03790939,1.03790939,1.03790939,1.03790939,22.46030045,18.94771004,21.51386452,26.11309814,31.64906693,31.34632874,30.25008011,35.04632187,40.48187637,53.010849,38.2709198,44.30913162,59.31538773,28.02001381,27.99764252,37.90485764,39.94075775,43.06557465,51.33028793,56.58723831,47.27728271,53.15682602,53.15682602
"KHM","Cambodia",2.14234042,2.14234042,2.14234042,2.14234042,2.14234042,2.14234042,7.14230537,7.89357662,10.63321018,16.02724266,14.31383991,19.62476921,30.14491463,16.25931168,16.2416153,13.91023254,11.11300945,19.38586998,18.72117996,22.71261215,20.35761261,11.80389309,9.19444656,6.49763823,6.50484943,6.46339607,14.38633442,9.34082508,9.34082508
"CMR","Cameroon",2.5520649,2.5520649,2.5520649,2.5520649,2.5520649,2.5520649,2.09438705,3.44702554,2.36824727,3.34895277,4.76077461,4.65560484,5.04734039,6.10976124,5.71515942,8.00396538,12.15643501,7.86001873,7.30820513,9.25201988,8.63536644,8.78061008,8.49681282,14.29008865,13.0471077,10.71255302,15.0334177,14.36285973,14.36285973
"CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
