"ISO3","Name","Value","sign"
"AFG","Afghanistan","0.115979974165121","0"
"ALB","Albania","0.418055151063619","1"
"DZA","Algeria","0.36388732312615","1"
"AND","Andorra","",""
"AGO","Angola","0.259735085159647","1"
"ATG","Antigua and Barbuda","0.0549009462276572","0"
"ARG","Argentina","-0.018973927074004","0"
"ARM","Armenia","0.120093361292681","0"
"AUS","Australia","-0.010906690375522","0"
"AUT","Austria","-0.138290796827036","-1"
"AZE","Azerbaijan","0.0697846472846466","0"
"BHS","Bahamas","0.0374968530679931","0"
"BHR","Bahrain","0.768356912154773","1"
"BGD","Bangladesh","-0.426196467645523","-1"
"BRB","Barbados","0.923210513621791","1"
"BLR","Belarus","-0.416304662985925","-1"
"BEL","Belgium","0.115228243167173","0"
"BLZ","Belize","-0.012594091365511","0"
"BEN","Benin","0.271651194497393","1"
"BTN","Bhutan","-0.0526005533476368","0"
"BOL","Bolivia, Plurinational State of","-0.0746581179385122","-1"
"BIH","Bosnia and Herzegovina","-0.0405398745725343","0"
"BWA","Botswana","-0.0209044725410732","0"
"BRA","Brazil","0.0669998849934955","0"
"BRN","Brunei Darussalam","0.213484761278831","1"
"BGR","Bulgaria","-0.257681623549109","-1"
"BFA","Burkina Faso","-0.217467792679939","-1"
"BDI","Burundi","0.143772184087182","1"
"KHM","Cambodia","0.0487047372372158","0"
"CMR","Cameroon","0.0202768196515841","0"
"CAN","Canada","-0.0252895667688481","0"
"CPV","Cape Verde","0.203886485696348","1"
"CAF","Central African Republic","0.00967686787770605","0"
"TCD","Chad","0.123760433066923","0"
"CHL","Chile","-0.0276975396055257","0"
"CHN","China","0.820113523705962","1"
"COL","Colombia","0.124199784811546","1"
"COM","Comoros","-0.16766810208923","-1"
"COG","Congo","0.0528793326600787","0"
"COD","Congo, the Democratic Republic o","0.0554510330065621","1"
"CRI","Costa Rica","0.113183998444471","1"
"CIV","Cote d'Ivoire","0.246611249014894","1"
"HRV","Croatia","-0.0394475236250886","0"
"CUB","Cuba","-0.0548885600435292","0"
"CYP","Cyprus","-0.0190501528963352","0"
"CZE","Czech Republic","-0.0592929779134049","0"
"DNK","Denmark","-0.0172912029523973","0"
"DJI","Djibouti","-0.201164439694421","0"
"DMA","Dominica","-0.149181509782294","0"
"DOM","Dominican Republic","0.0994938983644985","1"
"ECU","Ecuador","-0.062165631693535","0"
"EGY","Egypt","0.193466640434688","1"
"SLV","El Salvador","0.0191420629326609","0"
"GNQ","Equatorial Guinea","0.122486274481369","1"
"ERI","Eritrea","0.144095871695249","1"
"EST","Estonia","0.0146754684057205","0"
"ETH","Ethiopia","-0.0649529702622551","0"
"FJI","Fiji","0.0983969915384157","0"
"FIN","Finland","0.101694464502235","0"
"FRA","France","-0.0488408257262704","0"
"GAB","Gabon","-0.0176638960713391","0"
"GMB","Gambia","0.235137050033215","0"
"GEO","Georgia","0.180834562343215","0"
"DEU","Germany","-0.0854454359381707","-1"
"GHA","Ghana","0.120350146663281","0"
"GRC","Greece","0.341287870684967","1"
"GRD","Grenada","0.24998323124773","1"
"GTM","Guatemala","0.112291890821337","0"
"GIN","Guinea","-0.0256538212622837","0"
"GNB","Guinea-Bissau","0.252348889365397","1"
"GUY","Guyana","0.60508116199107","1"
"HTI","Haiti","-0.247885362427886","-1"
