"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",813.550255990893,813.550255990893,813.550255990893,813.550255990893,813.550255990893,813.550255990893,747.688045459929,926.507941009788,966.962032047533,971.633503058856,1076.08735259624,1121.83447075137,1286.9498431073,1333.74726659751,1570.69814518678,1765.53802828895,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512665,2211.28063454007
"ALB","Albania",2665.54172908569,2979.80900580306,2717.12904194514,3021.03586512388,3471.65040991534,3861.29587658066,4300.82913614706,4661.3864817606,5000.32938607468,5427.88085796663,5865.32161974535,6566.51540711302,7285.03477086567,8228.34259049073,8812.72866164449,9627.11353019879,10207.725973953,10526.242220905,10570.9886499849,11259.2396578923,11662.0362602873,12078.859007524,12771.0344395233,13696.7885617842,14792.2572244853,14511.9838623115,16127.7532581824,19446.2366628501,21263.1956590519
"DZA","Algeria",7746.71683861168,8052.76856707946,8128.79891374451,8502.88835952017,8776.44209463643,9186.81590337785,9543.52035341031,10080.1825003517,10802.7506701297,11431.6856716154,12246.2692241793,12791.3412603745,13320.9641206136,13666.2181958374,13651.4472996123,14201.3659904784,14639.8779436268,14441.3293398806,14370.820661674,14694.143827383,13807.3515841478,13437.8460232169,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15836.0944368871,16824.4879032987
"AND","Andorra",24934.3827736476,26541.5814464695,29121.6037064173,30072.7272734117,31589.9582429847,33458.1181631977,36895.4402445087,38787.0522541539,41147.8806959814,42717.2377748966,44577.8193346422,46852.6583900414,47501.4309293902,44838.9949993515,42522.9945649587,43853.1712389445,46436.1158605018,45503.0444835288,45609.2307220926,48505.6017354794,50733.2390011701,53110.1426270832,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.075948385,71730.6686821645
"AGO","Angola",2695.80598498959,3013.33281304468,3178.49480246135,3254.24447466604,3262.97552882462,3326.77991383311,3427.85394948502,3824.28480436462,3878.50795455112,4262.90601264127,4876.28768389176,5404.38383004397,6095.99926680138,6651.37774105467,6498.16928212825,6607.02219696569,6711.39025723883,7354.94296631261,7561.03920495179,7990.27445672775,7119.72644274401,6843.73589660504,6992.7288342812,7347.79993635052,7528.38241791217,6450.74994625154,7408.12659121059,7924.88880583905,8040.70244971812
"ATG","Antigua and Barbuda",14991.9070115283,15942.0117203497,16757.299176289,17414.2896276311,18003.7457273572,19228.4914831342,18481.7936276429,18724.7524583257,20033.2130195805,21527.4546791969,23374.9339326556,26823.3022216683,29710.9257725145,29837.9707172138,26034.5268098361,23958.4212623175,23692.724350004,22377.3619121949,21759.3680239872,21673.3949588348,20989.3858896307,21321.7097579145,21370.3095091624,24524.2137953887,26533.7301936962,22356.7687224849,25733.2948269644,30031.7474698743,32149.1403648823
"ARG","Argentina",9890.92470883083,10495.8392453675,11403.4807923124,11835.67698712,11463.853308121,11499.9828002698,11117.754923304,9953.46492878861,10933.3925490662,12117.6797424618,13464.8128469003,14843.5778656186,16455.1129799188,17276.7570884025,16182.0753478429,17847.6110371438,19104.9909405228,19430.4178068112,19928.989490167,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29597.6938429264,30082.3045247323
"ARM","Armenia",1766.91014753775,1921.54998906893,2039.78832272816,2239.42758322,2376.51916942321,2530.74394657588,2844.36266354649,3282.11706336711,3836.22556765401,4377.22759688046,5172.21892096961,6072.75924465718,7136.75405509164,7827.316667339,6811.69247962741,7095.21267972094,7624.26772626905,8942.63537897164,9454.87852836557,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.370051419,21342.5145334886
"AUS","Australia",21038.6667853022,22132.1929034356,23124.9639117233,24378.2453109245,25485.39144594,26541.6653208437,27645.8140289701,29032.4909555888,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,37532.9990434133,40312.3951186945,39372.8511038542,42022.7392158859,42863.3483169945,45930.8505081503,46903.770304139,46263.731388772,47260.1529933747,48371.1409956585,50183.6898127634,52673.0638176231,53984.1246979075,58182.3369477501,65871.7715157769,70497.1524466689
"AUT","Austria",23588.4562990757,24417.66429689,25294.723885165,26529.1815683188,27500.084954534,29214.7386484813,29556.403560049,30952.1708232398,31962.9255331065,33523.0204968283,34776.6699535218,37396.0350960866,39193.8173640977,41046.7900352112,40665.5046605019,41740.1149241758,44171.5618687028,46156.4832073037,47519.8522796571,48355.4977624407,49562.5939257986,52397.8635176673,53869.8321183555,56636.4953030539,60354.9279422121,58523.0337816244,62968.9422311889,70734.94256479,70478.7873635411
