"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",0.714876033057851,0.714876033057851,0.714876033057851,0.66646989374262,0.618063754427393,0.569657615112161,0.52125147579693,0.472845336481698,0.424439197166471,0.37603305785124,0.377869605142332,0.379706152433425,0.381542699724518,0.383379247015611,0.385215794306703,0.387052341597796,0.388888888888889,0.390725436179982,0.392561983471074,0.356198347107438,0.319834710743802,0.283471074380165,0.247107438016529,0.210743801652893,0.195247933884298,0.179752066115702,0.164256198347107,0.148760330578512,0.148760330578512
"ALB","Albania",0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.325413223140496,0.349173553719008,0.372933884297521,0.396694214876033,0.355371900826446,0.31404958677686,0.272727272727273,0.231404958677686,0.190082644628099,0.148760330578512,0.107438016528926,0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0661157024793388
"DZA","Algeria",0.396694214876033,0.34297520661157,0.289256198347107,0.235537190082645,0.181818181818182,0.128099173553719,0.262396694214876,0.396694214876033,0.339876033057851,0.283057851239669,0.226239669421488,0.169421487603306,0.169421487603306,0.169421487603306,0.169421487603306,0.169421487603306,0.169421487603306,0.169421487603306,0.161157024793388,0.152892561983471,0.144628099173554,0.136363636363636,0.128099173553719,0.119834710743802,0.111570247933884,0.111570247933884,0.111570247933884,0.111570247933884,0.111570247933884
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.318181818181818,0.318181818181818,0.320060105184072,0.321938392186326,0.32381667918858,0.325694966190834,0.327573253193088,0.329451540195342,0.331329827197596,0.33320811419985,0.335086401202104,0.336964688204357,0.338842975206612,0.321797520661157,0.304752066115702,0.287706611570248,0.270661157024793,0.253615702479339,0.236570247933884,0.21952479338843,0.202479338842975,0.202479338842975,0.202479338842975,0.202479338842975,0.202479338842975,0.202479338842975,0.202479338842975,0.202479338842975,0.202479338842975
"ATG","Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARG","Argentina",0.173553719008264,0.173553719008264,0.162075298438935,0.150596877869605,0.139118457300276,0.127640036730946,0.116161616161616,0.104683195592286,0.093204775022957,0.0817263544536273,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975,0.0702479338842975
"ARM","Armenia",0.136363636363636,0.136363636363636,0.136363636363636,0.136363636363636,0.119834710743802,0.103305785123967,0.127272727272727,0.151239669421488,0.175206611570248,0.199173553719008,0.223140495867769,0.212396694214876,0.201652892561983,0.190909090909091,0.180165289256198,0.169421487603306,0.171487603305785,0.173553719008264,0.175619834710744,0.177685950413223,0.179752066115702,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",0.15702479338843,0.15702479338843,0.210743801652893,0.264462809917355,0.318181818181818,0.371900826446281,0.132231404958678,0.16198347107438,0.191735537190083,0.221487603305785,0.251239669421488,0.28099173553719,0.279338842975207,0.277685950413223,0.27603305785124,0.274380165289256,0.272727272727273,0.202479338842975,0.132231404958678,0.133471074380165,0.134710743801653,0.13595041322314,0.137190082644628,0.138429752066116,0.139669421487603,0.140909090909091,0.142148760330579,0.143388429752066,0.144628099173554
"BHS","Bahamas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BHR","Bahrain",0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273
"BGD","Bangladesh",0.62396694214876,0.640495867768595,0.855371900826446,0.619834710743802,0.566115702479339,0.516528925619835,0.524793388429752,0.512396694214876,0.516528925619835,0.603305785123967,0.599173553719008,0.491735537190083,0.723140495867769,0.704545454545455,0.68595041322314,0.667355371900826,0.648760330578512,0.454545454545455,0.396694214876033,0.59504132231405,0.413223140495868,0.391184573002755,0.369146005509642,0.347107438016529,0.40495867768595,0.417355371900826,0.429752066115702,0.442148760330578,0.442148760330578
"BRB","Barbados",0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719,0.28099173553719
"BLR","Belarus",0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0882526564344748,0.0855962219598583,0.0829397874852421,0.0802833530106256,0.0776269185360095,0.074970484061393,0.0723140495867769,0.0696576151121607,0.0670011806375442,0.0643447461629281,0.0616883116883116,0.0590318772136955,0.0563754427390789,0.0537190082644628,0.0537190082644628,0.0495867768595041,0.0537190082644628,0.0537190082644628
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ","Belize",0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0785123966942149,0.0900826446280992,0.101652892561983,0.113223140495868,0.124793388429752,0.136363636363636,0.120867768595041,0.105371900826446,0.0898760330578512,0.0743801652892562,0.0743801652892562,0.0743801652892562,0.0743801652892562,0.0743801652892562,0.0743801652892562,0.0743801652892562,0.0743801652892562,0.0743801652892562
"BEN","Benin",0.619834710743802,0.619834710743802,0.570247933884298,0.520661157024793,0.471074380165289,0.421487603305785,0.371900826446281,0.34887839433294,0.325855962219599,0.302833530106257,0.279811097992916,0.256788665879575,0.233766233766234,0.210743801652893,0.206611570247934,0.202479338842975,0.198347107438017,0.194214876033058,0.190082644628099,0.18595041322314,0.191115702479339,0.196280991735537,0.201446280991736,0.206611570247934,0.252066115702479,0.297520661157025,0.34297520661157,0.34297520661157,0.34297520661157
"BTN","Bhutan",0.107438016528926,0.107438016528926,0.107438016528926,0.107438016528926,0.107438016528926,0.116161616161616,0.124885215794307,0.133608815426997,0.142332415059688,0.151056014692379,0.159779614325069,0.16850321395776,0.17722681359045,0.18595041322314,0.214876033057851,0.243801652892562,0.241258741258741,0.238715829624921,0.2361729179911,0.233630006357279,0.231087094723458,0.228544183089638,0.226001271455817,0.223458359821996,0.220915448188176,0.218372536554355,0.215829624920534,0.213286713286713,0.210743801652893
"BOL","Bolivia, Plurinational State of",0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0661157024793388,0.0669421487603306,0.0677685950413223,0.068595041322314,0.0694214876033058,0.0702479338842975,0.0677685950413223,0.0652892561983471,0.0628099173553719,0.0603305785123967,0.0578512396694215,0.0588842975206612,0.0599173553719008,0.0609504132231405,0.0619834710743802,0.0671487603305785,0.0723140495867769,0.0774793388429752,0.0826446280991736,0.0826446280991736,0.0826446280991736,0.0826446280991736,0.0826446280991736,0.0826446280991736,0.0826446280991736,0.0826446280991736
"BIH","Bosnia and Herzegovina",0.305785123966942,0.305785123966942,0.305785123966942,0.305785123966942,0.305785123966942,0.305785123966942,0.28236914600551,0.258953168044077,0.235537190082645,0.212121212121212,0.18870523415978,0.165289256198347,0.153581267217631,0.141873278236914,0.130165289256198,0.118457300275482,0.106749311294766,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496,0.0950413223140496
"BWA","Botswana",0.545454545454545,0.545454545454545,0.47004132231405,0.394628099173554,0.319214876033058,0.243801652892562,0.252066115702479,0.260330578512397,0.268595041322314,0.276859504132231,0.285123966942149,0.293388429752066,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983,0.301652892561983
