"ISO3","Name","Value","sign"
"AFG","Afghanistan",0.00189014879963222,0
"ALB","Albania",0.00239405834668879,0
"DZA","Algeria",0.00470636762759104,1
"AND","Andorra",0.0261480043304424,1
"AGO","Angola",0.00404732740844357,1
"ATG","Antigua and Barbuda",5.42262986704862e-05,0
"ARG","Argentina",-0.000304367661669886,0
"ARM","Armenia",-3.07379596554194e-05,0
"AUS","Australia",1.55594675336556e-05,0
"AUT","Austria",-0.00309469808377061,-1
"AZE","Azerbaijan",0.0022766017478551,0
"BHS","Bahamas",0.00092651461388517,0
"BHR","Bahrain",0.0146235506322606,1
"BGD","Bangladesh",0.00132087659997437,0
"BRB","Barbados",0.0183220484465925,1
"BLR","Belarus",-0.011446700132614,-1
"BEL","Belgium",0.000676292448778789,0
"BLZ","Belize",0.0027168273088516,1
"BEN","Benin",0.00278493743359143,1
"BTN","Bhutan",-0.000218560058082475,0
"BOL","Bolivia, Plurinational State of",0.000589280562457132,0
"BIH","Bosnia and Herzegovina",-0.000263971333001199,0
"BWA","Botswana",0.00104089509033285,0
"BRA","Brazil",0.00147487815859256,0
"BRN","Brunei Darussalam",0.00428867939098444,1
"BGR","Bulgaria",-0.00075437035079761,0
"BFA","Burkina Faso",-0.00398430342479393,-1
"BDI","Burundi",0.00194180851771003,1
"KHM","Cambodia",0.000861863574042127,0
"CMR","Cameroon",0.000652869239221051,0
"CAN","Canada",-0.00118578969708025,0
"CPV","Cape Verde",0.00329023099276802,1
"CAF","Central African Republic",-0.00101540810369983,0
"TCD","Chad",0.00017489735864157,0
"CHL","Chile",-0.000750472258525031,0
"CHN","China",0.0156719619154578,1
"COL","Colombia",0.000680804324159347,0
"COM","Comoros",-6.66951969014983e-05,0
"COG","Congo",0.00313933230646429,1
"COD","Congo, the Democratic Republic o",0.00086218572550867,1
"CRI","Costa Rica",0.00102454655497927,0
"CIV","Cote d'Ivoire",0.00611704846849911,1
"HRV","Croatia",0.00057383056397147,0
"CUB","Cuba",6.02763889293692e-05,0
"CYP","Cyprus",0.000530574921131908,0
"CZE","Czech Republic",-0.000252791589189797,0
"DNK","Denmark",0.000146193260051155,0
"DJI","Djibouti",-0.000522364580073419,0
"DMA","Dominica",-0.00138071749318938,0
"DOM","Dominican Republic",0.00364302649492464,1
"ECU","Ecuador",0.00122915668765069,0
"EGY","Egypt",0.00318153124456972,1
"SLV","El Salvador",0.00124998499124614,0
"GNQ","Equatorial Guinea",0.00163813657797888,1
"ERI","Eritrea",-0.000526442298433383,0
"EST","Estonia",2.02875737432751e-05,0
"ETH","Ethiopia",-0.00442788343887788,-1
"FJI","Fiji",-0.003575171521124,-1
"FIN","Finland",0.00117052460526434,0
"FRA","France",-0.000307807177023489,0
"GAB","Gabon",-0.000520962554288337,0
"GMB","Gambia",0.00386092169513559,1
"GEO","Georgia",0.00190988623452203,1
"DEU","Germany",-0.00145022409782982,0
"GHA","Ghana",-0.000369600571702023,0
"GRC","Greece",0.00622752989310175,1
"GRD","Grenada",0.00556407404314784,1
"GTM","Guatemala",0.00149459779353758,0
"GIN","Guinea",0.000524193759277477,0
"GNB","Guinea-Bissau",0.0021112864171834,1
"GUY","Guyana",0.00480412262717073,1
"HTI","Haiti",-0.00513145148350721,-1
"HND","Honduras",-0.00175570964746295,0
"HUN","Hungary",-0.000181881547763223,0
"ISL","Iceland",-0.00722443895933738,-1
"IND","India",0.0104521756378113,1
"IDN","Indonesia",0.00414616564781466,1
"IRN","Iran, Islamic Republic of",-0.00509360870327931,-1
"IRQ","Iraq",0.00173137133653964,0
"IRL","Ireland",-0.000177306318348999,0
"ISR","Israel",0.000758473465197117,0
"ITA","Italy",0.00435759548210765,1
"JAM","Jamaica",0.00315146714524196,1
"JPN","Japan",0.000202174278946143,0
"JOR","Jordan",0.00274012428923699,1
"KAZ","Kazakhstan",0.00101430290237241,0
"KEN","Kenya",0.00269448248953735,1
"KIR","Kiribati",-0.000303525233041075,0
"PRK","Korea, Democratic People's Repub",0.000132113238647529,0
"KOR","Korea, Republic of",0.00231575345995511,1
"KWT","Kuwait",0.0129350523025023,1
"KGZ","Kyrgyzstan",0.000503722639968679,0
"LAO","Lao People's Democratic Republic",0.00264941147364752,1
"LVA","Latvia",0.00238712238706794,1
"LBN","Lebanon",-0.00291076137928504,-1
"LSO","Lesotho",-0.001553014152713,0
"LBR","Liberia",-0.000444192780663485,0
"LBY","Libyan Arab Jamahiriya",0.0025560572846934,1
"LIE","Liechtenstein",0.00136082579012944,0
"LTU","Lithuania",0.0037229529158649,1
"LUX","Luxembourg",-0.00553295450867926,-1
"MKD","Macedonia",0.00289441505916199,1
"MDG","Madagascar",-0.000203143224375719,0
"MWI","Malawi",0.0028663383886814,0
"MYS","Malaysia",0.00169747850700611,0
"MDV","Maldives",0.00480558418973019,0
"MLI","Mali",-0.00400044979570641,-1
"MLT","Malta",-0.00123796266613167,0
"MHL","Marshall Islands",0.00572143571488332,1
"MRT","Mauritania",-0.000548315966598578,0
"MUS","Mauritius",0.00401627577245242,1
"MEX","Mexico",-0.00146630990298708,0
"FSM","Micronesia, Federated States of",0.00251891179911805,1
"MDA","Moldova, Republic of",0.00386974073401783,1
"MCO","Monaco",-0.00642354573845253,0
"MNG","Mongolia",0.00128937596761285,0
"MNE","Montenegro",-0.00023316186227461,0
"MAR","Morocco",0.00402228245325314,1
"MOZ","Mozambique",-0.000844101996444747,0
"MMR","Myanmar",-0.00505308911890095,0
"NAM","Namibia",-0.000643804429295931,0
"NRU","Nauru",0.00405895721149012,1
"NPL","Nepal",0.00181394412381535,0
"NLD","Netherlands",-0.00241838879538299,-1
"NZL","New Zealand",-0.0129676793455706,0
"NIC","Nicaragua",0.000131810721662758,0
"NER","Niger",0.00061413564200132,0
"NGA","Nigeria",0.0042130048411539,1
"NOR","Norway",-0.00268518623143176,0
"OMN","Oman",0.00117317613744341,0
"PAK","Pakistan",0.00494347792884823,0
"PLW","Palau",-0.00327261375963468,-1
"PAN","Panama",-0.00135781929005393,0
"PNG","Papua New Guinea",0.000509289841589958,0
"PRY","Paraguay",-0.000515974246740509,0
"PER","Peru",-0.00293250331665044,0
"PHL","Philippines",0.00646795766839921,1
"POL","Poland",-0.00355068301290278,-1
"PRT","Portugal",-0.000147344578359098,0
"QAT","Qatar",0.00929833556115075,1
"ROU","Romania",0.00224395363667778,0
"RUS","Russian Federation",-0.0101973701290371,-1
"RWA","Rwanda",0.00448598362282286,1
"KNA","Saint Kitts and Nevis",0.00226677899302554,1
"LCA","Saint Lucia",6.75531627237276e-05,0
"VCT","Saint Vincent and the Grenadines",0.0058863081386447,1
"WSM","Samoa",-0.000772581727681433,0
"SMR","San Marino",0.0038410403359774,1
"STP","Sao Tome and Principe",0.00274932523410854,1
"SAU","Saudi Arabia",0.0150431099343012,1
"SEN","Senegal",0.00198650472330898,1
"SRB","Serbia",0.000338052158818301,0
"SYC","Seychelles",0.0028542568963064,1
"SLE","Sierra Leone",-0.00181109783324217,-1
"SGP","Singapore",0.00153889299506105,1
"SVK","Slovakia",-0.00117990516758398,0
"SVN","Slovenia",-0.00229239688413154,0
"SLB","Solomon Islands",-0.00267577324587902,0
"SOM","Somalia",0.000931601494460636,0
"ZAF","South Africa",-0.000291530388583872,0
"ESP","Spain",-0.00192340915319366,-1
"LKA","Sri Lanka",-0.001506128334071,0
